filename,true_label,predicted_label,prob_cls0,prob_cls1,prob_cls2,prob_cls3,prob_cls4,prob_cls5,prob_cls6,prob_cls7,prob_cls8,prob_cls9,prob_cls10,prob_cls11,prob_cls12,prob_cls13,prob_cls14,prob_cls15,prob_cls16,prob_cls17,prob_cls18,prob_cls19,prob_cls20,prob_cls21,prob_cls22
Acne and Rosacea Photos/perioral-dermatitis-90.jpg,0,0,0.65771484,0.00715637,0.00234222,0.00526428,0.00325775,0.01908875,0.00310516,0.00415421,0.00301933,0.01486969,0.00363541,0.00334930,0.00685120,0.00893402,0.01436615,0.00269318,0.03430176,0.00542450,0.01384735,0.00166988,0.00784302,0.00735855,0.16992188
Cellulitis Impetigo and other Bacterial Infections/Staphylococcal-Folliculitis-28.jpg,4,4,0.00675583,0.00658417,0.00438690,0.00294304,0.88037109,0.00418854,0.00452042,0.00524521,0.00496292,0.00643921,0.00305939,0.00526047,0.00745773,0.00382042,0.00431061,0.00217628,0.00805664,0.00644684,0.00432587,0.00433731,0.01150513,0.00325012,0.00957489
Poison Ivy Photos and other Contact Dermatitis/irritant-contact-dermatitis-8.jpg,13,5,0.00283432,0.00751114,0.05102539,0.00275230,0.00152588,0.59277344,0.00765228,0.17016602,0.00252342,0.00416565,0.01705933,0.02447510,0.03137207,0.02380371,0.01024628,0.00695038,0.00738907,0.00904846,0.00994873,0.00569916,0.00416565,0.00472260,0.00238419
Atopic Dermatitis Photos/03ichthyosis050127.jpg,2,2,0.01050568,0.00772858,0.83105469,0.01068878,0.01715088,0.00237465,0.00321960,0.00981140,0.00651169,0.00400543,0.00600815,0.00602722,0.00778580,0.00522614,0.00616074,0.00390244,0.00992584,0.01693726,0.00683594,0.00636292,0.00541306,0.00451279,0.01200867
Cellulitis Impetigo and other Bacterial Infections/Folliculitis-24.jpg,4,0,0.48413086,0.00713730,0.00616074,0.00680161,0.01533508,0.00350571,0.00471497,0.01052094,0.01239777,0.00221062,0.00261307,0.02799988,0.01696777,0.00892639,0.01841736,0.01436615,0.05102539,0.00488281,0.01190186,0.01882935,0.13281250,0.01151276,0.12683105
Nail Fungus and other Nail Disease/beaus-lines-26.jpg,12,12,0.00982666,0.00596619,0.00777435,0.00699997,0.00719452,0.00655746,0.01025391,0.00638962,0.00784302,0.00848389,0.00566101,0.00998688,0.82031250,0.00985718,0.01979065,0.00625229,0.00672913,0.00772095,0.00768280,0.00894928,0.00552368,0.00751877,0.00650406
Psoriasis pictures Lichen Planus and related diseases/psoriasis-scalp-4.jpg,14,14,0.00520706,0.01271057,0.00513840,0.00315857,0.00214767,0.00308037,0.00325775,0.01320648,0.00283813,0.00384140,0.00840759,0.00570679,0.00486755,0.00833130,0.88525391,0.00218391,0.00267601,0.01255798,0.00251770,0.00242043,0.00432968,0.00422287,0.00176525
Herpes HPV and other STDs Photos/pearly-penile-papules-1.jpg,8,8,0.00968933,0.07135010,0.00361061,0.00340652,0.00362968,0.00405121,0.00254059,0.00791168,0.52392578,0.00569916,0.00408554,0.02471924,0.02064514,0.00587845,0.06036377,0.00733185,0.00701141,0.00383759,0.00748825,0.00636673,0.04678345,0.00300598,0.16650391
Herpes HPV and other STDs Photos/herpes-type-2-primary-22.jpg,8,8,0.00504303,0.00612640,0.00650787,0.00553513,0.00480652,0.00665283,0.00544357,0.00725937,0.87402344,0.00522614,0.00559998,0.00404358,0.00354195,0.00631714,0.00269508,0.00588989,0.00539017,0.00789642,0.00512314,0.00649643,0.00630951,0.00640869,0.00751877
Acne and Rosacea Photos/hidradenitis-suppurativa-94.jpg,0,0,0.61621094,0.00374413,0.00692749,0.00433350,0.02236938,0.03610229,0.00772095,0.01152039,0.00428391,0.04681396,0.00616837,0.00428772,0.00551605,0.00903320,0.02679443,0.00733185,0.00455093,0.00931549,0.06155396,0.01053619,0.00418091,0.00607300,0.08453369
Melanoma Skin Cancer Nevi and Moles/mongolian-spot-2.jpg,11,16,0.01237488,0.04501343,0.00381660,0.00448608,0.02331543,0.00687790,0.00214386,0.00567245,0.00389481,0.00952911,0.04321289,0.02627563,0.00585938,0.00402451,0.03799438,0.01419830,0.52050781,0.14807129,0.01210022,0.00137711,0.03845215,0.00294304,0.02766418
Warts Molluscum and other Viral Infections/herpes-cutaneous-18.jpg,22,21,0.02130127,0.05093384,0.00867462,0.00621796,0.00440979,0.05691528,0.00928497,0.00791931,0.01593018,0.00837708,0.00571442,0.00860596,0.01679993,0.01681519,0.01985168,0.00358582,0.00444031,0.00458527,0.01270294,0.00496674,0.00551224,0.57128906,0.13488770
Herpes HPV and other STDs Photos/AIDS-28.jpg,8,4,0.00401688,0.01167297,0.00969696,0.00535202,0.77734375,0.01554108,0.00489426,0.01243591,0.00479126,0.00235748,0.00902557,0.00789642,0.00807953,0.00734329,0.00601196,0.04299927,0.01110077,0.00604248,0.01538086,0.00942230,0.00590897,0.01683044,0.00595093
Lupus and other Connective Tissue diseases/lupus-chronic-cutaneous-85.jpg,10,7,0.00347328,0.01287079,0.00437546,0.00694656,0.00450134,0.00380516,0.00656128,0.84619141,0.00341415,0.00918579,0.01291656,0.00430298,0.03561401,0.00449753,0.00481033,0.00254059,0.00644684,0.00347137,0.00527191,0.00374413,0.00652695,0.00437927,0.00418472
Herpes HPV and other STDs Photos/molluscum-contagiosum-27.jpg,8,22,0.01652527,0.00996399,0.00478745,0.00267220,0.01113129,0.00325775,0.00265121,0.01421356,0.00605392,0.00461960,0.00247574,0.00512314,0.00235176,0.00391769,0.01017761,0.00413513,0.01312256,0.00233078,0.00642395,0.00617218,0.00256538,0.00297737,0.86230469
Exanthems and Drug Eruptions/viral-exanthems-53.jpg,6,13,0.00516891,0.01832581,0.00567245,0.00610733,0.00891876,0.05810547,0.00477219,0.00628281,0.00774384,0.00744247,0.00598526,0.00406265,0.03515625,0.59716797,0.12561035,0.00216675,0.00556564,0.00491714,0.00538254,0.00296021,0.00815582,0.00481033,0.06945801
Psoriasis pictures Lichen Planus and related diseases/8Psoriasis2-130.jpg,14,22,0.00366974,0.01286316,0.00608826,0.00257874,0.00407028,0.01338196,0.00472641,0.00556946,0.00256729,0.00526428,0.01515198,0.00722504,0.02087402,0.01035309,0.02325439,0.02511597,0.05944824,0.01536560,0.01783752,0.01074219,0.00825500,0.01110840,0.71435547
Seborrheic Keratoses and other Benign Tumors/dermatofibroma-18.jpg,16,16,0.00359917,0.01789856,0.00997925,0.02893066,0.05810547,0.05847168,0.01759338,0.00946045,0.07012939,0.01030731,0.05438232,0.00274849,0.01470184,0.00751495,0.02638245,0.00907898,0.25244141,0.04516602,0.04156494,0.01195526,0.16723633,0.06793213,0.01446533
Tinea Ringworm Candidiasis and other Fungal Infections/tinea-scalp-27.jpg,18,5,0.00629807,0.02943420,0.00591660,0.00346184,0.00569153,0.38891602,0.01133728,0.02259827,0.00425339,0.01163483,0.00861359,0.00726700,0.01555634,0.00736237,0.03013611,0.00683594,0.08306885,0.00745010,0.26879883,0.00287628,0.06304932,0.00356102,0.00574875
Tinea Ringworm Candidiasis and other Fungal Infections/tinea-hand-dorsum-27.jpg,18,18,0.00775909,0.00597763,0.00538254,0.00732422,0.02688599,0.04641724,0.00238419,0.00342178,0.00276375,0.05593872,0.01081848,0.00485992,0.01537323,0.00495911,0.00777435,0.00946045,0.02310181,0.01045990,0.70507812,0.00222397,0.00273705,0.02076721,0.01806641
Systemic Disease/tuberous-sclerosis-20.jpg,17,17,0.01255035,0.01000977,0.00515747,0.00502777,0.00426102,0.00538635,0.00446320,0.00729752,0.00614166,0.00741196,0.00736237,0.00605011,0.01036835,0.00740051,0.00391006,0.00629425,0.00644302,0.85498047,0.00714874,0.00482178,0.00576019,0.00426483,0.00740814
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/basal-cell-nevus-syndrome-7.jpg,1,14,0.00700378,0.11401367,0.00272179,0.00394440,0.00227165,0.00632095,0.00366402,0.00394058,0.00716400,0.00275040,0.00551224,0.01605225,0.00494003,0.00258255,0.69726562,0.00617981,0.04913330,0.01520538,0.00624084,0.00415421,0.01551819,0.00546646,0.01799011
Warts Molluscum and other Viral Infections/herpes-cutaneous-34.jpg,22,10,0.00408554,0.00286865,0.00550079,0.00287056,0.00510025,0.00576782,0.01924133,0.00618744,0.01083374,0.00444794,0.48901367,0.00562286,0.25878906,0.00353241,0.00453568,0.00620651,0.00971222,0.01675415,0.00469971,0.00331688,0.02079773,0.00825500,0.10192871
Melanoma Skin Cancer Nevi and Moles/atypical-nevi-trunk-9.jpg,11,11,0.00474548,0.00303459,0.00686264,0.00495148,0.00421143,0.00788116,0.00585556,0.00531769,0.00495148,0.00638962,0.00581741,0.87304688,0.00693512,0.00585556,0.00891876,0.00549316,0.00363541,0.00482941,0.00766754,0.00841522,0.00515747,0.00482941,0.00503540
Tinea Ringworm Candidiasis and other Fungal Infections/tinea-face-31.jpg,18,5,0.01599121,0.00345230,0.04360962,0.00882721,0.00311470,0.45385742,0.00489044,0.00671768,0.00290680,0.01614380,0.00617599,0.00439835,0.00867462,0.04592896,0.01371002,0.00260353,0.01547241,0.04608154,0.27416992,0.00475311,0.00651169,0.00938416,0.00254440
Tinea Ringworm Candidiasis and other Fungal Infections/tinea-groin-101.jpg,18,18,0.00415802,0.00534821,0.00664139,0.00470352,0.00358200,0.01074982,0.00379181,0.00657272,0.00346756,0.00690842,0.00437164,0.00616074,0.00897980,0.01913452,0.00811768,0.00658417,0.00762558,0.00428009,0.84326172,0.00671768,0.00658417,0.01226044,0.01011658
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/bowens-disease-87.jpg,1,1,0.00482559,0.80664062,0.00539780,0.00795746,0.00652313,0.00423431,0.00198746,0.00359917,0.00278282,0.00354195,0.00473785,0.00983429,0.00595856,0.00354385,0.00624084,0.00349808,0.01396179,0.00210571,0.07177734,0.00314713,0.01278687,0.00795746,0.00677490
Tinea Ringworm Candidiasis and other Fungal Infections/13TineaIncognito2.jpg,18,18,0.00489426,0.01286316,0.01559448,0.00549698,0.01048279,0.01389313,0.01321411,0.00865173,0.00522614,0.00511169,0.00404358,0.00446701,0.00452042,0.00852203,0.00436401,0.00477600,0.00316429,0.00349808,0.82226562,0.00643539,0.00643921,0.02865601,0.00350380
Herpes HPV and other STDs Photos/genital-warts-23.jpg,8,8,0.00479507,0.00542831,0.02449036,0.00367928,0.00948334,0.01612854,0.00659180,0.00732040,0.80957031,0.01071167,0.00407410,0.00551987,0.00489807,0.00387001,0.00377464,0.00324821,0.03875732,0.00314331,0.00428772,0.00637054,0.00944519,0.00753021,0.00711823
Acne and Rosacea Photos/07rhnophymas0321051.jpg,0,0,0.84814453,0.01618958,0.00691986,0.00644684,0.00353813,0.00549698,0.00945282,0.00968933,0.00645447,0.00971985,0.00543213,0.00380898,0.00709534,0.00742340,0.00429916,0.00642395,0.00460052,0.00997162,0.00836945,0.00913239,0.00312233,0.00629044,0.00214767
Acne and Rosacea Photos/rosacea-41.jpg,0,0,0.84765625,0.00300026,0.00564957,0.00282669,0.00630951,0.01024628,0.00363541,0.00365448,0.00725937,0.00172997,0.00349426,0.00616074,0.00710297,0.00442886,0.01887512,0.00240326,0.01086426,0.00928497,0.00461578,0.00363350,0.00374222,0.00536728,0.02809143
Exanthems and Drug Eruptions/viral-exanthems-68.jpg,6,18,0.00486374,0.01948547,0.00609970,0.01226807,0.00444031,0.01554871,0.24560547,0.00961304,0.01131439,0.00775909,0.00489044,0.01206970,0.00603867,0.00720978,0.28491211,0.01000214,0.00798798,0.00653458,0.28588867,0.00731659,0.01038361,0.00364304,0.01609802
Tinea Ringworm Candidiasis and other Fungal Infections/perleche-7.jpg,18,18,0.01328278,0.02107239,0.00526047,0.00332069,0.02102661,0.03884888,0.00323105,0.00835419,0.00478745,0.00335884,0.00741196,0.00726700,0.00544357,0.05511475,0.00403214,0.00383759,0.00611877,0.00419617,0.75488281,0.00496292,0.01050568,0.00549316,0.00809479
Atopic Dermatitis Photos/05atopic0123066.jpg,2,2,0.00498199,0.00645828,0.88867188,0.00727844,0.00263214,0.01480865,0.00186634,0.00433350,0.00363922,0.00267220,0.00562286,0.00506210,0.00493622,0.00546265,0.00429916,0.00442505,0.00396729,0.00582504,0.00828552,0.00347900,0.00411987,0.00365829,0.00329781
Melanoma Skin Cancer Nevi and Moles/congenital-nevus-23.jpg,11,11,0.00574875,0.00246429,0.01573181,0.00446320,0.00634384,0.00509644,0.06005859,0.00577164,0.00759888,0.11938477,0.00286293,0.66601562,0.01077271,0.00502777,0.01390839,0.01147461,0.00717926,0.00422668,0.00798035,0.00809479,0.01084900,0.00638580,0.01253510
Seborrheic Keratoses and other Benign Tumors/dermatofibroma-19.jpg,16,16,0.00272179,0.01153564,0.00460434,0.00433731,0.01205444,0.01661682,0.00448608,0.01660156,0.13073730,0.00380135,0.00543213,0.00509262,0.01032257,0.00379753,0.01690674,0.00230408,0.68408203,0.01997375,0.00898743,0.00436401,0.00655365,0.00978088,0.01499176
Cellulitis Impetigo and other Bacterial Infections/impetigo-55.jpg,4,13,0.07812500,0.00616455,0.01814270,0.01388550,0.20446777,0.01431274,0.00388718,0.00600433,0.00632858,0.01974487,0.00618362,0.00408173,0.01558685,0.33129883,0.00652313,0.00229454,0.00643158,0.00627136,0.00756454,0.00504303,0.00772095,0.00493622,0.22497559
Systemic Disease/sebaceous-adenoma-3.jpg,17,16,0.23474121,0.03802490,0.00561905,0.00579071,0.00397491,0.01023865,0.00448608,0.00594711,0.00609970,0.09710693,0.00541687,0.00590134,0.00516129,0.01074219,0.00330925,0.00805664,0.47778320,0.02642822,0.00917053,0.00651932,0.00489044,0.01744080,0.00706100
Cellulitis Impetigo and other Bacterial Infections/Folliculitis-1.jpg,4,4,0.06286621,0.01913452,0.00701523,0.00503159,0.61474609,0.00475693,0.00835419,0.01526642,0.00262451,0.00836945,0.01625061,0.00518417,0.01850891,0.00678253,0.09954834,0.00223541,0.00882721,0.00330544,0.05633545,0.00616074,0.00764084,0.00631332,0.01486969
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/basal-cell-carcinoma-lesion-16.jpg,1,1,0.00492096,0.89501953,0.00516510,0.00214577,0.00450134,0.00574112,0.00628281,0.00527191,0.00437927,0.00401688,0.00268555,0.00295830,0.00679398,0.00528336,0.00541306,0.00722504,0.00349045,0.00417328,0.00397873,0.00564957,0.00333023,0.00661469,0.00490189
Psoriasis pictures Lichen Planus and related diseases/seborrheic-dermatitis-84.jpg,14,14,0.06124878,0.01606750,0.00330353,0.00184059,0.00416183,0.00313568,0.00311661,0.00501633,0.00340462,0.00505829,0.00191402,0.00580597,0.00587082,0.00501251,0.83251953,0.00303078,0.01255798,0.00542068,0.00526428,0.00341797,0.00575256,0.00223923,0.00505066
Seborrheic Keratoses and other Benign Tumors/pilar-cyst-16.jpg,16,16,0.00372124,0.00261688,0.00429153,0.00512314,0.00366592,0.00971222,0.00250053,0.01086426,0.00432968,0.00383949,0.00457001,0.01123810,0.01343536,0.00850677,0.01442719,0.01603699,0.84326172,0.00257492,0.01573181,0.00779343,0.00376892,0.00512314,0.00293541
Acne and Rosacea Photos/Sebaceous-glands-Areola-4.jpg,0,5,0.31469727,0.03381348,0.02528381,0.00339127,0.00606918,0.42846680,0.00169849,0.00560379,0.00186062,0.00737381,0.00990295,0.01010132,0.00562668,0.01585388,0.00879669,0.00222206,0.08038330,0.00446320,0.00307083,0.00241852,0.00504684,0.00770950,0.01611328
Cellulitis Impetigo and other Bacterial Infections/impetigo-73.jpg,4,4,0.00899506,0.00356865,0.00868225,0.01000214,0.65136719,0.01062012,0.00589752,0.00644302,0.02156067,0.01795959,0.00342560,0.00524139,0.00333595,0.00675583,0.00345993,0.02331543,0.00271988,0.00614548,0.01657104,0.01214600,0.00613785,0.00487900,0.16064453
Psoriasis pictures Lichen Planus and related diseases/Pityriasis-Lichenoides-12.jpg,14,14,0.00498581,0.00335503,0.00300598,0.00160599,0.00250816,0.04022217,0.00165844,0.00715637,0.00441742,0.00309944,0.00224113,0.01113129,0.02328491,0.00355530,0.84667969,0.00550842,0.00831604,0.00283432,0.00349045,0.00217247,0.00463104,0.00325012,0.01075745
Exanthems and Drug Eruptions/fixed-drug-eruption-37.jpg,6,6,0.01197815,0.01076508,0.00604248,0.00482178,0.00572586,0.00526428,0.84033203,0.00900269,0.01028442,0.00651550,0.00280380,0.01128387,0.01180267,0.00578308,0.00479507,0.00723648,0.00535202,0.00542831,0.00398254,0.00515366,0.00624847,0.00662994,0.01265717
Bullous Disease Photos/epidermolysis-bullosa-4.jpg,3,5,0.00288010,0.01100159,0.01225281,0.00548553,0.00254440,0.84521484,0.01493073,0.00502777,0.00445557,0.00588226,0.00379562,0.00606537,0.00418091,0.00252724,0.00444031,0.01227570,0.00326729,0.00350761,0.02294922,0.00592041,0.00872040,0.00875092,0.00372887
Scabies Lyme Disease and other Infestations and Bites/rocky-mountain-spotted-fever-4.jpg,15,17,0.00595856,0.00550079,0.10107422,0.02874756,0.01419067,0.06561279,0.00931549,0.00687027,0.03619385,0.00686646,0.00248337,0.01406860,0.04809570,0.00566864,0.20642090,0.02516174,0.01307678,0.23474121,0.00430298,0.00410080,0.05786133,0.05538940,0.04827881
Eczema Photos/eczema-nummular-102.jpg,5,5,0.00743866,0.04434204,0.00845337,0.00894165,0.02378845,0.44531250,0.00888824,0.00527954,0.00541306,0.01014709,0.00542068,0.01316071,0.00304794,0.01326752,0.01316071,0.26171875,0.00769043,0.00415039,0.04098511,0.00981903,0.00662231,0.00448990,0.04852295
Systemic Disease/neurofibromatosis-19.jpg,17,17,0.00589371,0.01867676,0.00643158,0.00598145,0.00407410,0.00567245,0.00521851,0.00991058,0.01113892,0.00860596,0.01078033,0.00779343,0.00682068,0.00674820,0.00491333,0.00494003,0.06866455,0.75146484,0.01308441,0.00418472,0.01547241,0.00377274,0.01980591
Psoriasis pictures Lichen Planus and related diseases/psoriasis-erythrodermic-15.jpg,14,14,0.00521469,0.00690842,0.00486755,0.00283241,0.00443649,0.02841187,0.00695038,0.00456238,0.00282860,0.00391388,0.00201607,0.00929260,0.01910400,0.00439072,0.84863281,0.00401688,0.00572968,0.00352478,0.00366020,0.00314522,0.00894928,0.00287628,0.01378632
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-horn-15.jpg,1,22,0.00492859,0.09869385,0.00380325,0.00537491,0.00436783,0.00508499,0.00373268,0.00590134,0.00704193,0.00224113,0.00321579,0.00645447,0.00769806,0.00428009,0.00592422,0.00300407,0.03225708,0.00402832,0.00747299,0.00346947,0.00308418,0.00168037,0.77636719
Systemic Disease/granuloma-annulare-158.jpg,17,17,0.00708771,0.00979614,0.00467300,0.00406265,0.00487900,0.00607681,0.00399399,0.00590515,0.00666428,0.00478363,0.00344658,0.00505447,0.00995636,0.00785828,0.00325584,0.00713730,0.00278091,0.86230469,0.00862885,0.00944519,0.00944519,0.00673676,0.00593948
Atopic Dermatitis Photos/IchthosisIMG022-GP3.jpg,2,18,0.00392151,0.00485229,0.02293396,0.00574112,0.00432968,0.01477051,0.00609589,0.00984955,0.00236702,0.00367928,0.00317383,0.01118469,0.02134705,0.00745773,0.01899719,0.00517654,0.00456238,0.00870514,0.80566406,0.00682831,0.01459503,0.00841522,0.00515747
Scabies Lyme Disease and other Infestations and Bites/tick-bite-42.jpg,15,15,0.00965881,0.00446320,0.00909424,0.00649643,0.00573730,0.00874329,0.00467682,0.00730515,0.00791168,0.00683975,0.00659180,0.00547791,0.01178741,0.00702667,0.00747681,0.83837891,0.00910950,0.00811005,0.00585175,0.00537109,0.00614929,0.00582504,0.01180267
Eczema Photos/eczema-chronic-4.jpg,5,5,0.00336647,0.00402832,0.00613403,0.00230026,0.00261116,0.90380859,0.00363922,0.00529480,0.00364304,0.00391006,0.00299835,0.00814819,0.00720596,0.00282478,0.00482941,0.00666046,0.00542831,0.00183964,0.00298500,0.00624847,0.00422668,0.00439072,0.00334740
Exanthems and Drug Eruptions/kawasaki-syndrome-20.jpg,6,6,0.01058960,0.00442505,0.01329803,0.00402069,0.00543594,0.11029053,0.74218750,0.00478745,0.01209259,0.00357246,0.00640869,0.00510788,0.00439453,0.00394821,0.00591278,0.00474548,0.00389099,0.00268745,0.02920532,0.00770950,0.00461197,0.00467682,0.00600433
Eczema Photos/stasis-dermatitis-193.jpg,5,5,0.00278282,0.00230598,0.01779175,0.00177765,0.00386047,0.90283203,0.00321770,0.00326729,0.00374985,0.00236702,0.00278282,0.00380516,0.00353622,0.01428223,0.00197601,0.00196648,0.00349045,0.00331688,0.00483322,0.00259972,0.00357437,0.00729370,0.00259590
Nail Fungus and other Nail Disease/mucous-cyst-65.jpg,12,12,0.00539017,0.00658035,0.00505829,0.00511551,0.00549316,0.00524902,0.00576782,0.00443649,0.00564957,0.00584793,0.00466919,0.00872803,0.87255859,0.00514984,0.00835419,0.00621796,0.00734329,0.00473404,0.00571823,0.00743103,0.00464249,0.00523376,0.00444794
Warts Molluscum and other Viral Infections/herpes-simplex-55.jpg,22,22,0.00591660,0.00380898,0.00507355,0.00365067,0.00548553,0.00696945,0.00477600,0.00599289,0.00289536,0.00518036,0.00392532,0.00429535,0.00416946,0.00797272,0.00981903,0.00245094,0.00263977,0.00223160,0.00262833,0.00584030,0.00370026,0.00361443,0.89697266
Scabies Lyme Disease and other Infestations and Bites/pubic-lice-23.jpg,15,15,0.00436783,0.00275040,0.00555801,0.00609970,0.00465393,0.03713989,0.01203156,0.00424576,0.01847839,0.00732040,0.00598907,0.00815582,0.00679398,0.00581360,0.05722046,0.72949219,0.00510788,0.01280975,0.04306030,0.00309372,0.00369072,0.00850677,0.00784302
Systemic Disease/xanthomas-71.jpg,17,17,0.02832031,0.28466797,0.00643539,0.00490189,0.00504303,0.00816345,0.00668716,0.00904083,0.00633621,0.00764847,0.00804901,0.00776291,0.01231384,0.01057434,0.00659180,0.00952911,0.02841187,0.50439453,0.01184845,0.00856018,0.00932312,0.00943756,0.00579834
Seborrheic Keratoses and other Benign Tumors/seborrheic-keratoses-smooth-57.jpg,16,16,0.00331879,0.00565720,0.00432587,0.00306320,0.00354004,0.00453949,0.00416183,0.00558472,0.00303078,0.00432587,0.00295067,0.00764465,0.00478745,0.00382423,0.00488663,0.00347328,0.89794922,0.00265694,0.00425339,0.00557709,0.01010895,0.00831604,0.00204277
Eczema Photos/eczema-foot-99.jpg,5,5,0.00421143,0.00288773,0.02593994,0.00565338,0.00547409,0.86816406,0.00587845,0.00467682,0.00573349,0.00499725,0.00358200,0.00632477,0.00423813,0.00361061,0.00819397,0.00606155,0.00455856,0.00340843,0.00264740,0.00867462,0.00532532,0.00477219,0.00509262
Nail Fungus and other Nail Disease/distal-subungual-onychomycosis-167.jpg,12,12,0.00559998,0.00443649,0.00704193,0.00537491,0.00485611,0.00890350,0.00546646,0.00604248,0.00518036,0.00752258,0.00569153,0.00843048,0.85302734,0.00651550,0.01786804,0.00595093,0.00555420,0.00478363,0.00744629,0.00852203,0.00543976,0.00569534,0.00448227
Light Diseases and Disorders of Pigmentation/porphyrias-3.jpg,9,9,0.00279236,0.00966644,0.00419998,0.00767136,0.00421906,0.02485657,0.00419617,0.00440598,0.00407791,0.86572266,0.00637054,0.00506973,0.00217056,0.00474167,0.00211525,0.00478363,0.00413132,0.00568390,0.01301575,0.00693512,0.00412369,0.00569153,0.00333595
Nail Fungus and other Nail Disease/lichen-planus-167.jpg,12,13,0.00477600,0.00880432,0.01193237,0.00418854,0.00396347,0.07812500,0.00911713,0.01614380,0.00203896,0.00581741,0.00946045,0.01213837,0.05532837,0.37524414,0.19775391,0.03033447,0.05996704,0.02018738,0.05203247,0.00772476,0.00822449,0.00650787,0.02015686
Nail Fungus and other Nail Disease/habit-tic-deformity-19.jpg,12,12,0.00345421,0.00924683,0.00999451,0.00565720,0.00514984,0.02645874,0.00544739,0.00357246,0.00597000,0.00380707,0.00377274,0.01120758,0.79296875,0.00468445,0.05874634,0.00577545,0.00547409,0.00885773,0.00487518,0.00996399,0.00563812,0.00305557,0.00616837
Herpes HPV and other STDs Photos/molluscum-contagiosum-35.jpg,8,22,0.00826263,0.02207947,0.00608444,0.00280190,0.00418091,0.01180267,0.00709152,0.01037598,0.00372505,0.00188541,0.00744247,0.06701660,0.01158142,0.00530624,0.03823853,0.00774002,0.00460815,0.00413513,0.00798798,0.00344276,0.01039124,0.00284576,0.75097656
Systemic Disease/necrobiosis-lipoidica-54.jpg,17,17,0.00489807,0.00683975,0.00372887,0.00419617,0.00560760,0.00760651,0.00475693,0.00556564,0.00362206,0.00598907,0.01718140,0.00743484,0.00406647,0.00377464,0.01265717,0.00515366,0.00244713,0.87255859,0.00289917,0.00272560,0.00551987,0.00510406,0.00561523
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/basal-cell-carcinoma-lesion-75.jpg,1,1,0.00438690,0.83056641,0.00907135,0.00295258,0.00699615,0.00526428,0.00781250,0.00705719,0.00584793,0.00559235,0.00685501,0.00197792,0.00524139,0.00597000,0.00693893,0.00536346,0.03393555,0.00584030,0.00725937,0.00904083,0.00814819,0.01303864,0.00482559
Systemic Disease/amyloidosis-35.jpg,17,17,0.01020050,0.14331055,0.00769424,0.00491333,0.01245117,0.31469727,0.00780869,0.01614380,0.02163696,0.00868988,0.00780106,0.01033020,0.02427673,0.01849365,0.00965881,0.01411438,0.00400543,0.31787109,0.00863647,0.01188660,0.01025391,0.00431824,0.01083374
Eczema Photos/eczema-fingertips-73.jpg,5,5,0.00278664,0.00312996,0.00465012,0.00445938,0.00215912,0.89355469,0.00267029,0.00482178,0.00782776,0.00323677,0.00350380,0.00373840,0.00630951,0.00311279,0.00885010,0.00926208,0.00560760,0.00297928,0.00940704,0.00720215,0.00359535,0.00296021,0.00435257
Psoriasis pictures Lichen Planus and related diseases/pityriasis-rosea-154.jpg,14,14,0.00109196,0.01110077,0.00240326,0.00125027,0.00148201,0.01948547,0.00966644,0.00322533,0.00113678,0.00704575,0.00436783,0.00416565,0.00729370,0.00872040,0.87353516,0.00629807,0.00191116,0.00190544,0.00557709,0.01997375,0.00306892,0.00263405,0.00267982
Tinea Ringworm Candidiasis and other Fungal Infections/id-reaction-6.jpg,18,5,0.00241089,0.00224113,0.00151348,0.00218773,0.00189495,0.91748047,0.00271606,0.00468445,0.00395584,0.00587463,0.00458908,0.00386238,0.00748825,0.00199509,0.00728226,0.00524139,0.00447464,0.00210381,0.00270844,0.00379562,0.00432205,0.00364876,0.00353241
Psoriasis pictures Lichen Planus and related diseases/psoriasis-erythrodermic-33.jpg,14,14,0.00549698,0.00600052,0.00681305,0.00400925,0.00347900,0.01276398,0.00351143,0.01020050,0.00501633,0.00444031,0.00529099,0.00807190,0.02603149,0.00573349,0.85058594,0.00517654,0.00511551,0.00537491,0.00392914,0.00764847,0.00846100,0.00291443,0.00410843
Acne and Rosacea Photos/acne-closed-comedo-26.jpg,0,0,0.73437500,0.00536728,0.01126862,0.00316238,0.00541687,0.03997803,0.00266647,0.00416946,0.00333786,0.00452042,0.01329803,0.00869751,0.00297165,0.00593185,0.05578613,0.00222015,0.04785156,0.00639725,0.01413727,0.00544739,0.00459671,0.00592804,0.01261139
Cellulitis Impetigo and other Bacterial Infections/Leprosy-5.jpg,4,4,0.00658798,0.01269531,0.00516129,0.01009369,0.52685547,0.02856445,0.01100159,0.00742722,0.00872040,0.19958496,0.00647354,0.01114655,0.02374268,0.00530243,0.01924133,0.00597382,0.01786804,0.00688553,0.00894928,0.00303459,0.02655029,0.02975464,0.01831055
